epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,1176.8,0.38488,0.55344,0.28071,0.86873,0,0.91091,0.85469,0.89463,0.79274,0.92756,0.86095,0.89955,0.75304,0.42237,0.9877,0.3596,0.90016,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1280.45,0.38184,0.54521,0.27461,0.8664,0,0.94044,0.84008,0.89673,0.77785,0.94751,0.85451,0.90393,0.74997,0.46779,0.93504,0.38377,0.94185,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1385.09,0.37747,0.5424,0.2718,0.8638,0,0.92094,0.86726,0.90844,0.79517,0.93916,0.87887,0.91903,0.76721,0.46177,0.89338,0.3284,0.94184,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1487.88,0.37622,0.53963,0.27075,0.86497,0,0.92335,0.85898,0.90425,0.78919,0.93446,0.86755,0.90823,0.75728,0.46852,0.96536,0.35593,0.93376,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1591.62,0.36941,0.5333,0.2681,0.86291,0,0.9158,0.84381,0.88412,0.77241,0.9355,0.86449,0.9057,0.7494,0.50404,1.07285,0.38937,0.98878,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1695.5,0.36823,0.52727,0.2652,0.86401,0,0.91948,0.85606,0.8915,0.78214,0.93096,0.86533,0.90137,0.75878,0.47432,0.97101,0.35913,0.95144,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1807.23,0.36454,0.52344,0.26065,0.85969,0,0.93858,0.84202,0.88822,0.78684,0.94333,0.86031,0.9033,0.76391,0.4612,0.94876,0.36203,0.93863,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1918.53,0.36309,0.5148,0.26232,0.85766,0,0.94502,0.83568,0.89644,0.79048,0.93769,0.8608,0.90532,0.76476,0.46761,1.00336,0.35593,0.94696,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2024.67,0.35798,0.51554,0.25663,0.86008,0,0.92517,0.85531,0.89433,0.79771,0.94053,0.87117,0.90559,0.76538,0.43498,0.99952,0.34324,0.9235,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2131.71,0.35811,0.512,0.25712,0.85765,0,0.92712,0.86969,0.90979,0.80934,0.93616,0.8777,0.91532,0.77575,0.42182,0.90809,0.32001,0.90572,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
